round,0,1,2
1,26043.41543649435,8063.311406707764,7602.677974200249
2,2295.27106307745,3238.615620589256,3029.774970090389
3,1498.216980433464,2901.4358846187592,375.9501855969429
4,2614.9443187534807,1575.5889575183392,414.4950443863869
5,856.9319420337677,1082.1059021294118,329.2669771850109
6,322.9502718687057,361.1482204079628,157.31150428056716
7,327.7011712580919,140.55990252494811,173.0549395442009
8,640.2695936441421,280.0890887141228,276.8965531826019
9,1815.0611095786094,133.89089111089706,113.30109288096428
10,203.2035363435745,169.45624883770944,305.67868129611014
11,102.67373704314232,75.3109278857708,77.76529008746147
12,51.65308431684971,57.012891453504565,1643.620432859659
13,168.19410358071326,87.72668536305427,113.50423469543458
14,66.46515796780587,720.7768307030201,68.35723413825035
15,163.18292072415352,99.86004117131233,47.42909127548337
16,65.24811996817589,109.02136100530625,93.62556478530169
17,49.75583082661033,65.06352041363716,29.535232806205748
18,30.358393442630767,64.57391209602356,23.34944276213646
19,13.796688450619422,17.224884885549546,16.11712116599083
20,15.00909823179245,111.72817493975163,9.29460792541504
