round,0,1,2,3,4
1,0.4295547837069824,0.42941058941059784,0.4190590590590598,0.6406570841889117,0.8495846645367413
2,0.41234765234765547,0.41067761806981523,0.40296810862014987,0.45321321321321956,0.40549520766773145
3,0.38138261464750195,0.4909904153354633,0.4304704704704747,0.3977265550994665,0.44635364635365155
4,0.05051334702258721,0.39676323676324254,0.3724524524524595,0.3554152194505874,0.3718849840255591
5,0.35258785942492016,0.14305270362765218,0.3753353353353385,0.3876123876123934,0.3886327754973191
6,0.3930469530469584,0.415846645367412,0.03613963039014377,0.3802336596147809,0.4009609609609675
7,0.398281718281723,0.10540725530458601,0.37389389389389693,0.3758762235554212,0.441150159744409
8,0.4184025559105432,0.11608487337440085,0.4044444444444496,0.37758130723082123,0.4143456543456619
9,0.3732667332667379,0.3979791600884132,0.1983572895277209,0.3515115115115142,0.49303514376996815
10,0.03600273785078713,0.38095846645367415,0.38642642642643,0.37777076097253526,0.39388611388612016
11,0.40202083991159465,0.37188498402555914,0.4021978021978098,0.1759069130732374,0.39179179179179685
12,0.3610223642172524,0.030527036276522847,0.38645354645355023,0.4249849849849904,0.3732870224186959
13,0.3511821086261981,0.3994805194805244,0.2002737850787133,0.3908430691506206,0.376376376376383
14,0.24531143052703624,0.3664335664335733,0.4039639639639662,0.3593610223642173,0.42721818755920793
15,0.4010010010010049,0.3560383386581469,0.07063655030800817,0.4225449952636594,0.40415584415584754
16,0.392207792207799,0.43015974440894567,0.38288601199873834,0.037234770704996555,0.3533133133133156
17,0.3721321321321359,0.13415468856947294,0.4261980830670927,0.45892011367224816,0.39080919080919785
18,0.36523961661341847,0.37950049950050346,0.37770760972529527,0.04668035592060235,0.3912312312312386
19,0.13360711841204648,0.4007667731629393,0.396483516483523,0.3933933933933991,0.3758762235554181
20,0.3904895104895163,0.39507507507507955,0.42829175876224157,0.40907348242811536,0.08076659822039707
